"Argensola_Alejandra" "Argensola_Isabela" "Artieda_Amantes" "Bermudez_Lastimosa" "Bermudez_Laureada" "Cervantes_CasaCelos" "Cervantes_Urdemalas" "JCueva_Principe" "JCueva_Saco" "Lasso_Constantinopla" "Lasso_Dido restaurada" "Virues_Marcela" "Virues_Semirámis"
"que" 4.32137778480013 4.0778126880139 5.62817327427892 4.26001357773252 4.87094088259783 4.97368065865839 5.24377856780091 4.84575665298557 5.06520247083047 4.23602341866605 4.24446374294399 5.16222848314096 3.9969361465079
"y" 3.34966029388529 3.41600374356575 4.62352814086637 3.13985064494229 4.14238134887594 3.85342151437441 4.27247333671915 4.00503111346485 3.87096774193548 3.67351624382964 3.57142857142857 3.54448786694538 5.53582619594736
"de" 3.21535787644178 3.8705795841968 2.89510640596305 3.08044806517312 4.70441298917569 3.4080172762856 3.68842051802946 2.42949821263074 3.2258064516129 3.23728618987487 3.30004342162397 3.36271925838408 3.8507067752942
"la" 2.32264180755254 2.77424961561602 2.45219833639408 1.91785471826205 2.78934221482098 2.01781616952355 2.41239207719655 2.31696014828545 2.15511324639671 2.72069796808633 2.1168041684759 2.09942742888303 2.25611029872572
"el" 2.65444778006004 1.47068654321813 1.97688235929567 1.62932790224033 2.70607826810991 2.11229585639088 2.17115286947689 3.08486694028863 2.60809883321894 2.835495350706 3.25662179765523 1.91765882032173 2.20736717498781
"en" 1.78543213777848 1.23671368406979 1.82564545749163 1.84147997284454 1.85956147654732 2.14603860170063 2.53301168105637 2.40301866807891 2.12765957446809 2.08931236367811 2.10594876248372 2.34481505044079 2.1795139614233
"a" 1.74593142676568 1.46400160438532 2.09571135357027 1.63781398506449 1.42242575631418 2.04481036577136 2.22828847130523 1.87342777704223 2.48455730954015 1.83675812191482 2.12765957446809 2.1085158593111 1.70600933082654
"no" 1.77753199557592 1.61775519753994 1.92286918007994 1.97725729803123 1.33222314737719 1.82885679578891 1.64423565261554 1.64173176221369 1.83939601921757 1.94007576627253 1.93226226660877 1.89039352903754 1.24643130701205
"con" 1.19292147258651 1.81830336252423 0.950631954196824 1.11167684996606 1.08243130724396 0.735591847752733 1.066531234129 0.827485767244803 0.974605353466026 1.58420388015153 1.33521493703865 0.917931473234572 1.29517443074995
"por" 1.09021962395323 1.74476903536333 1.28551366533434 0.924983027834352 0.797946155981127 0.992036712106897 0.984002031488065 0.853965311796637 0.878517501715855 1.14797382619676 0.998697351280938 1.12696537308007 0.863449620499965
"es" 0.734713224838047 0.394411391135771 0.983039861726261 0.8316361167685 0.915903413821815 1.47118369550547 1.15540883697308 0.860585197934596 1.08442004118051 1.1709333027207 1.11810681719496 1.72680178133236 1.00967899171367
"me" 1.00331805972508 0.802192659937162 1.03705304094199 1.20502376103191 0.457951706910908 1.11351059522203 0.926866429659726 0.92678405931418 0.61770761839396 0.860980369647572 0.857577073382545 1.117876942652 0.738110159459648
"mi" 0.908516353294359 0.748713149274684 0.507723884627849 0.627970128988459 0.291423813488759 1.02577945741666 0.780853224987303 1.38355620283331 0.411805078929307 1.02169670531512 1.21580547112462 1.17240752522039 1.25339461040318
"los" 1.22452204139675 1.66454976936961 0.518526520470995 0.975899524779362 1.56119900083264 0.587123768389796 0.647536820721178 0.330994306897921 0.988332189430336 0.48214900700264 0.553625705601389 0.527128964827774 0.77988997980642
"lo" 0.876915784484121 0.681863760946587 2.16052716862915 0.560081466395112 0.457951706910908 0.620866513699555 0.768156424581006 1.11214087117702 0.892244337680165 0.573986913098381 0.803300043421624 0.754339725529401 0.591880788245944
"se" 0.67941222942013 0.641754127949729 0.853408231608512 0.780719619823489 1.01304468498473 0.76258604400054 1.02209243270696 0.754667019727261 0.933424845573095 0.895419584433475 0.868432479374729 0.636190129964555 0.473504630596755
"su" 0.711012798230368 0.815562537602781 0.529329156314141 0.46673455532926 0.846516791562587 0.553381023080038 0.698324022346369 0.873824970210512 1.01578586135896 0.654345080932155 0.770733825445072 0.64527856039262 0.584917484854815
"te" 0.797914362458524 0.63506918911692 0.637355514745598 1.27291242362525 0.624479600333056 0.84356863274396 0.565007618080244 0.681848272209718 0.452985586822237 0.67730455745609 0.542770299609205 0.508952103971644 0.5570642712903
"tu" 0.774213935850845 0.615014372618491 0.324079075294372 0.780719619823489 0.374687760199833 0.715346200566878 0.507872016251904 1.42327551966106 0.452985586822237 0.528067960050511 0.716456795484151 0.59074797782423 0.654550518766103
"si" 0.545109811976616 0.655124005615349 1.33952684455007 0.441276306856755 0.326117124618374 0.823322985558105 0.558659217877095 0.609029524692175 0.700068634179822 0.619905866146252 0.618758141554494 0.527128964827774 0.584917484854815
"al" 0.711012798230368 0.528110167791965 0.594144971373015 0.330957230142566 0.735498195947821 0.593872317451748 0.526917216861351 0.84072553952072 0.63143445435827 0.642865342670187 0.499348675640469 0.68163228210488 0.72418355267739
"del" 0.355506399115184 0.701918577445016 0.216052716862915 0.56856754921928 1.15181792950319 0.377918747469294 0.450736414423565 0.661988613795843 0.60398078242965 0.665824819194122 0.694745983499783 0.418067799690993 0.605807395028201
"las" 0.711012798230368 0.982686008423023 0.572539699686724 0.712830957230143 0.888148764918124 0.391415845593197 0.704672422549518 0.264795445518337 0.494166094715168 0.309952933073126 0.42336083369518 0.263564482413887 0.5570642712903
"yo" 0.553009954179175 0.695233638612207 0.30247380360808 0.36490156143924 0.19428254232584 0.593872317451748 0.704672422549518 0.50311134648484 0.425531914893617 0.344392147859029 0.314806773773339 0.927019903662637 0.633660608592716
"qué" 0.695212513825249 0.40778126880139 0.691368693961327 0.98438560760353 0.457951706910908 0.6006208665137 0.450736414423565 0 0.452985586822237 0.252554241763288 0.379939209726444 0.554394256111969 0.584917484854815
"tan" 0.237004266076789 0.521425228959155 0.421302797882683 1.08621860149355 0.957535387177352 0.229450668106357 0.368207211782631 0.403813054415464 0.398078242964997 0.528067960050511 0.271385149804603 0.427156230119058 0.452614720423369
"más" 0.474008532153579 0.548164984290394 0.550934428000432 0.88255261371351 0.624479600333056 0.425158590902956 0.418994413407821 0 0.439258750857927 0.539547698312479 0.412505427702996 0.445333090975189 0.508321147552399
"pues" 0.655711802812451 0.755398088107494 0.88581613913795 0.36490156143924 0.180405217873994 0.539883924956134 0.418994413407821 0.390573282139547 0.288263555250515 0.24107450350132 0.282240555796787 0.436244660547124 0.508321147552399
"le" 0.466108389951019 0.280767430978007 0.766987144863347 0.347929395790903 0.499583680266445 0.485895532460521 0.463433214829863 0.423672712829339 0.233356211393274 0.562507174836414 0.477637863656101 0.418067799690993 0.38994498990321
"un" 0.497708958761258 0.340931880473294 0.799395052392784 0.297012898845893 0.353871773522065 0.512889728708328 0.787201625190452 0 0.425531914893617 0.0229594765239353 0.564481111593574 0.563482686540035 0.529211057725785
"ya" 0.458208247748459 0.514740290126345 0.183644809333477 0.271554650373388 0.367749097973911 0.357673100283439 0.457084814626714 0.370713623725672 0.329444063143445 0.424750315692802 0.488493269648285 0.5725711169681 0.494394540770141
"o" 0.165902986253753 0.300822247476436 0.496921248784703 0.390359809911745 0.256730502359145 0.431907139964908 0.342813610970036 0.556070435588508 0.288263555250515 0.378831362644932 0.23881893182805 0.290829773698082 0.208899101733863
"rey" 0.687312371622689 0.488000534795107 0.0432105433725829 0.322471147318398 0.541215653621982 0.0539883924956134 0.234890807516506 0.860585197934596 0.0549073438572409 0.0573986913098381 0.293095961788971 0.0908843042806507 0.236752315298378
"sin" 0.158002844051193 0.347616819306103 0.162039537647186 0.483706720977597 0.339994449070219 0.371170198407342 0.336465210766887 0.278035217794254 0.274536719286205 0.344392147859029 0.325662179765523 0.472598382259384 0.362091776338695
"bien" 0.252804550481909 0.227287920315529 0.248460624392352 0.390359809911745 0.409381071329448 0.425158590902956 0.355510411376333 0.205216470276711 0.150995195607412 0.286993456549191 0.629613547546678 0.345360356266473 0.341201866165309
"como" 0.150102701848633 0.42115114646701 0.507723884627849 0.186693822131704 0.242853177907299 0.229450668106357 0.336465210766887 0.165497153448961 0.205902539464653 0.378831362644932 0.358228397742076 0.64527856039262 0.382981686512081
"ser" 0.244904408279349 0.394411391135771 0.3780922545101 0.161235573659199 0.326117124618374 0.20245647185855 0.380904012188928 0.370713623725672 0.205902539464653 0.126277120881644 0.206252713851498 0.381714077978733 0.327275259383051
"para" 0.189603412861432 0.401096329968581 0.324079075294372 0.330957230142566 0.291423813488759 0.337427453097584 0.241239207719655 0.21183635641467 0.247083047357584 0.229594765239353 0.282240555796787 0.327183495410343 0.299422045818536
"quien" 0.21330383946911 0.381041513470152 0.572539699686724 0.280040733197556 0.180405217873994 0.182210824672695 0.190452006094464 0.25155567324242 0.233356211393274 0.424750315692802 0.347372991749891 0.363537217122603 0.236752315298378
"ni" 0.244904408279349 0.340931880473294 0.421302797882683 0.330957230142566 0.152650568970303 0.229450668106357 0.260284408329101 0.21183635641467 0.370624571036376 0.459189530478705 0.390794615718628 0.190857038989367 0.22282570851612
"mas" 0.284405119292147 0.274082492145197 0.140434265960894 0.254582484725051 0.256730502359145 0.323930354973681 0.120619603859827 0.787766450417053 0.343170899107756 0.19515555045345 0.195397307859314 0.0999727347087158 0.146229371213704
"esta" 0.371306683520303 0.193863226151481 0.15123690180404 0.263068567549219 0.152650568970303 0.310433256849777 0.222194007110208 0.225076128690587 0.219629375428964 0.172196073929514 0.23881893182805 0.5725711169681 0.355128472947566
"ha" 0.363406541317744 0.0869042048265258 0.22685535270606 0.127291242362525 0.201221204551762 0.371170198407342 0.342813610970036 0 0.494166094715168 0.332912409597061 0.260529743812419 0.436244660547124 0.376018383120953
"señor" 0.529309527571496 0.233972859148339 0.129631630117749 0.551595383570944 0.270607826810991 0.155216628424889 0.209497206703911 0.158877267311002 0.192175703500343 0.286993456549191 0.18454190186713 0.390802508406798 0.146229371213704
"porque" 0.244904408279349 0.280767430978007 0.334881711137518 0.161235573659199 0.138773244518457 0.317181805911729 0.292026409344845 0.364093737587714 0.356897735072066 0.298473194811158 0.303951367781155 0.118149595564846 0.0626697305201588
"cielo" 0.197503555063991 0.0534795106624774 0.0432105433725829 0.212152070604209 0.617540938107133 0.249696315292212 0.120619603859827 0.291274990070171 0.109814687714482 0.149236597405579 0.36908380373426 0.309006634554213 0.271568832254021
