"Valle_Baza-ne0036" "Valle_Corte-ne0033" "Valle_CruzadosCausa-ne0020" "Valle_FlordeSantidad-ne0017" "Valle_GerifaltesAntano-ne0022" "Valle_MediaNoche-ne0037" "Valle_ResplandorHoguera-ne0021" "Valle_SonataEstio-ne0014" "Valle_SonataInvierno-ne0016" "Valle_SonataOtono-ne0013" "Valle_SonataPrimavera-ne0015" "Valle_TiranoBanderas-ne0030" "Valle_Viva-ne0035"
"Valle_Baza-ne0036" 0 0.828556199286236 1.16340059342166 1.25119874869613 1.14003231803673 1.14108590918366 1.16482011833335 1.17441184894085 1.15825067425739 1.2410833112617 1.238653849172 0.862718298170978 0.712257535253499
"Valle_Corte-ne0033" 0.828556199286236 0 1.14164197854729 1.22442835378869 1.13305503079918 1.18084932032499 1.14860152519826 1.2165604068981 1.13316727811436 1.2326436965167 1.22972135557328 0.891468546960989 0.630792339879988
"Valle_CruzadosCausa-ne0020" 1.16340059342166 1.14164197854729 0 0.989014428218635 1.01499204475681 1.09343254333251 0.964976571916678 1.07586564339881 1.05659877720084 1.02879677902346 1.07458574725614 1.14665495299513 1.15984652292046
"Valle_FlordeSantidad-ne0017" 1.25119874869613 1.22442835378869 0.989014428218635 0 1.07650970920358 0.975559742359715 0.995320188005001 1.00899930663374 1.11241156824122 0.955438597136739 1.00254577588413 1.19125894192061 1.25510553970093
"Valle_GerifaltesAntano-ne0022" 1.14003231803673 1.13305503079918 1.01499204475681 1.07650970920358 0 1.0787280697081 0.876588145405451 1.1307835124755 1.03262602473573 1.06025011646136 1.08954428366007 1.11090675653526 1.147282607476
"Valle_MediaNoche-ne0037" 1.14108590918366 1.18084932032499 1.09343254333251 0.975559742359715 1.0787280697081 0 1.04902967650271 1.05442214618944 1.14087806699045 1.1035120966775 1.11189676895743 1.08357949733716 1.17057252728793
"Valle_ResplandorHoguera-ne0021" 1.16482011833335 1.14860152519826 0.964976571916678 0.995320188005001 0.876588145405451 1.04902967650271 0 1.09928213743655 1.07000428194593 1.0710994787692 1.11861964261283 1.15733833126189 1.18472827214459
"Valle_SonataEstio-ne0014" 1.17441184894085 1.2165604068981 1.07586564339881 1.00899930663374 1.1307835124755 1.05442214618944 1.09928213743655 0 0.974480788146785 0.940162184831529 0.914522484926293 1.14169931151651 1.2186553345572
"Valle_SonataInvierno-ne0016" 1.15825067425739 1.13316727811436 1.05659877720084 1.11241156824122 1.03262602473573 1.14087806699045 1.07000428194593 0.974480788146785 0 0.966607453587707 0.919313996028631 1.18365071867297 1.17968799538824
"Valle_SonataOtono-ne0013" 1.2410833112617 1.2326436965167 1.02879677902346 0.955438597136739 1.06025011646136 1.1035120966775 1.0710994787692 0.940162184831529 0.966607453587707 0 0.876094545483665 1.22579335111724 1.26899945511431
"Valle_SonataPrimavera-ne0015" 1.238653849172 1.22972135557328 1.07458574725614 1.00254577588413 1.08954428366007 1.11189676895743 1.11861964261283 0.914522484926293 0.919313996028631 0.876094545483665 0 1.19438918938186 1.24520743527557
"Valle_TiranoBanderas-ne0030" 0.862718298170978 0.891468546960989 1.14665495299513 1.19125894192061 1.11090675653526 1.08357949733716 1.15733833126189 1.14169931151651 1.18365071867297 1.22579335111724 1.19438918938186 0 0.857887255647368
"Valle_Viva-ne0035" 0.712257535253499 0.630792339879988 1.15984652292046 1.25510553970093 1.147282607476 1.17057252728793 1.18472827214459 1.2186553345572 1.17968799538824 1.26899945511431 1.24520743527557 0.857887255647368 0
